sphere_id,label,effect_direction,evidence_strength_score,przybylski_tier,causal_confidence,evidence_strength_raw,note
academic,The Impact of Using a ChatGPT-based application to Enhance Saudi Stude… (2024),positive,5,strict,longitudinal,5/5,This study investigates the impact of using a ChatGPT-based application on enhancing vocab
academic,Integrating ChatGPT into Flipped Learning: Enhancing Students’ Creativ… (2024),positive,5,strict,experimental,5/5,The integration of artificial intelligence (AI) into educational methods is gaining tracti
academic,Accelerating students’ expository text writing ability in Physical Edu… (2025),positive,5,strict,quasi_experimental,5/5,"Introduction: effective writing skills particularly on expository texts, including within "
academic,Effect of generative AI-based conceptual and metacognitive scaffolding… (2026),positive,5,strict,quasi_experimental,5/5,Elementary students face challenges in comprehending computational thinking (CT) concepts 
academic,Implementation of AI tools to improve English writing skills in the se… (2026),positive,5,strict,experimental,5/5,&lt;p data-start=346 data-end=448&gt;This study investigated the effects of AI-based tools
academic,ChatGPT enhances reading comprehension for children with dyslexia in A… (2025),positive,5,strict,experimental,5/5,"PURPOSE: The study investigated the impact of ChatGPT, an AI language model, on enhancing "
academic,Impact of AI-Supported Multimodal Learning Environments on EFL Student… (2025),positive,5,strict,experimental,5/5,This quasi-experimental study investigates the effect of AI-enhanced multimodal learning e
academic,AI-assisted Intervention and ACT-based Intervention: Boosting Self-eff… (2025),positive,5,strict,rct,5/5,Objective: Bilingual students frequently encounter unique challenges that can hinder their
academic,Unlocking potential in underachieving learners: self-regulation develo… (2026),positive,5,strict,,5/5,Underachieving students from socioeconomically disadvantaged backgrounds often experience 
academic,ChatGPT and Academic Writing Self-Efficacy: Unveiling Correlations and… (2024),positive,5,strict,longitudinal,5/5,This study investigates the impact of ChatGPT usage on academic writing self-efficacy amon
academic,Exploring the Effects of a Scaffolded Programming Learning Environment… (2025),positive,5,strict,quasi_experimental,5/5,"This study designed an online scaffolded learning programming environment, integrating sel"
academic,The Application of AI-Assisted Project-Based Learning to Improve Stude… (2025),positive,5,strict,experimental,5/5,This study aims to test the effectiveness of applying the Project-Based Learning (PJBL) mo
academic,Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning… (2025),bidirectional,5,strict,experimental,5/5,"The advent of generative artificial intelligence (GAI), exemplified by ChatGPT, has introd"
academic,Revising with Intelligence: ChatGPT Feedback and Its Impact on EFL Stu… (2025),negative,5,strict,experimental,5/5,While prior research on AI-assisted writing has primarily focused on surface-level gains i
academic,Impact of ChatGPT on the Academic Writing Quality of Senior High Schoo… (2024),mixed,5,strict,quasi_experimental,5/5,Emerging technologies are practical tools for addressing challenges in writing skill devel
academic,Investigation of Secondary School Students’ and Teachers’ Opinions on … (2025),mixed,5,strict,quasi_experimental,5/5,The purpose of this research is to examine the opinions of mathematics teachers and second
academic,The Impact of ChatGPT as a Formative Feedback Tool on Moroccan Seconda… (2025),mixed,5,strict,experimental,5/5,This study investigates the impact of ChatGPT-generated formative feedback on Moroccan sec
academic,The Effect of A Chatgpt-Assisted Problem-Based Learning Model on Digit… (2026),mixed,5,strict,experimental,5/5,This study was motivated by students’ low levels of digital literacy and learning outcomes
academic,The Effects of Experience-based Writing Instruction Program using Gene… (2025),mixed,5,strict,quasi_experimental,5/5,This study aims to analyze the effects of an experience-based writing instruction program 
academic,The Effect of Feedback on Informative Text Writing: AI or Teacher? (2025),mixed,5,strict,experimental,5/5,This study was conducted to examine the effects of feedback provided by a generative AI ch
academic,Impact Assessment of ChatGPT and AI Technologies Integration in Studen… (2024),positive,3,moderate,unclear,3/5,The adoption of innovative technologies is critical for improving teaching practices and s
academic,Chatgpt-Based Didactic Strategies To Improve Students’ English Languag… (2024),positive,3,moderate,unclear,3/5,"At the present time, artificial intelligence (AI) has become a reality; it is no longer so"
academic,Effects of ChatGPT-Based Human–Computer Dialogic Interaction Programmi… (2025),positive,3,moderate,experimental,3/5,This study seeks to deepen the understanding of the direct and indirect effects of human–c
academic,AI-Driven Vocabulary Enhancement: Transforming Writing Skills for Seco… (2025),positive,3,moderate,unclear,3/5,"This innovation introduces a groundbreaking six-week educational module leveraging AI, spe"
academic,Portuguese secondary school students’ perceptions regarding the use of… (2025),positive,3,moderate,cross_sectional,3/5,The rapid spread of generative artificial intelligence (GenAI) in contemporary society cal
academic,Students’ Perception towards the Use of ChatGPT as a Tool for Learning… (2025),positive,3,moderate,cross_sectional,3/5,This study aimed to explore students’ perception towards the use of ChatGPT as a tool for 
academic,Argument-Mapping Using ChatGPT to Enhance the Quality of Scientific Ar… (2025),positive,3,moderate,unclear,3/5,This study explores the impact of Argument Mapping (AM) assisted by ChatGPT on students’ a
academic,ChatGPT in English Language Learning: User Experience and Enjoyment Am… (2025),positive,3,moderate,mixed_methods,3/5,This study employs an explanatory mixed method design to investigate the user experience a
academic,"ChatGPT in High School Learning: Exploring Student Perceptions, Uses a… (2025)",positive,3,moderate,qualitative,3/5,"The purpose of the study was to examine the perceptions, experiences, and ethical consider"
academic,The impact of ChatGPT-integrated reading activities on the reading att… (2026),positive,3,moderate,mixed_methods,3/5,This study examines the impact of the artificial intelligence tool ChatGPT on middle schoo
academic,Leveraging ChatGPT to enhance EFL reading skills for 10-12 year-old st… (2024),positive,3,moderate,unclear,3/5,Context: The study was conducted in an international school that prioritizes strong Englis
academic,The effects of ChatGPT-based AskUp activities on elementary students’ … (2025),positive,3,moderate,unclear,3/5,This study explores the impact of ChatGPT-based AskUp activities on elementary students’ E
academic,Integrating ChatGPT in Descriptive Writing Instruction: Insights and B… (2025),positive,3,moderate,qualitative,3/5,"This study examines the integration of ChatGPT, an AI-based language model, into teaching "
academic,The Perceived Effects of Using ChatGPT on Academic Writing Performance… (2026),positive,3,moderate,survey,3/5,"The rise of generative artificial intelligence (AI), particularly ChatGPT, has reshaped ac"
academic,"Perceived Effectiveness of ChatGPT, Linguistic, and Written Communicat… (2025)",positive,3,moderate,cross_sectional,3/5,This study investigated the perceived level of effectiveness of using ChatGPT on the lingu
academic,<scp>ChatGPT</scp> Practices of High School Students in Programming Ed… (2026),positive,3,moderate,unclear,3/5,ABSTRACT This study aimed to investigate high school students’ intentions to use chatbots 
academic,Rethinking AI literacy: How high school students navigate ChatGPT in E… (2025),positive,3,moderate,longitudinal,3/5,This study explores high school students’ AI literacy and their use of ChatGPT in English 
